title,description,label
[Yoga530-14IKB-FFRT] PCmark8 and PCmark10 DC score is lower than AC mode for more than 10% on SKU1&SKU2.,"Test condition: OS: Win10 RS3 16299 Language: EN BIOS/EC: 7QCN16WW Preload: V25   Test Result: Test units: SKU1, SKU2, SKU4,SKU5,SKU6,SKU7 Fail units: SKU1, SKU2 Fail rate by all test units: 2 out of 6 units   Issue Description:  PCmark8 and PCmark10 DC score is lower than AC mode for more than 10% on SKU1&SKU2. Please refer to attachment for detail.",0
[310-15ABR _SIT] 3Dmark11 score can’t meet SPEC(1260-1980) when run 3Dmark11 DC mode benchmark,"Test condition: 

OS: Win10 Pro 10.0.10586 

Language: EN

Preload: V12

BIOS/EC: 1LCN11WW/1LEC11WW

Test results: 

Test units: SKU1#28,SKU2#10,SKU3#09,SKU4#10,SKU5#20,SKU6#12

Fail units:  All

Issue Description:                                                                            

3Dmark11 score can’t meet SPEC(1260-1980) when run 3Dmark11 DC mode benchmark. DC mode test score can’t drop more 10% than AC mode.AC mode test score can’t meet SPEC.",0
[Yoga530-14ARR-SIT] PCMark8 accelerated mode score lower than conventional mode.(F/R:3/4 by units),"Test condition: 

OS: Win10 RS3 Pro 16299

BIOS/EC: 8MCN15WW/8MCN15WW

Preload: V18

Language: EN

Detect by: PFA001_03 PCMark8 v2.8.704 Test Result:

Test units: 4 units(Sku1#40,Sku2#24,Sku3#28,Sku4#22)

Fail units: Sku1#40,Sku2#24,Sku4#22

F/R: 3/4 units Issue description:

PCMark8 accelerated mode score lower than conventional mode.(F/R:3/4 by units)

Please refer to attachment.

How to recover:

Run PCMark8 V2.8.704",0
[530S_14/15IWL_SIT] Cinebench R15 high performance mode score is lower than quiet mode performance score.(F/R by unit:5/6),"Test condition:

OS:Win10 17134

BIOS/EC: 9WCN11WW/9WEC11WW

Image:V11

Language: CHS

Tool: Cinebench R15

Test Case:PSA001_08  Intel DPTF testcase for ITS 3.0  V3.0.2  Test result:

Test units: 6 units(SKU1#24,SKU2#24,SKU3#12,SKU4#37,SKU5#18,SKU6#7);

Fail units: SKU1#24,SKU2#24,SKU4#37,SKU5#18,SKU6#7;

Fail rate by units: 5/6 by units;

Fail rate by times: 2/2 by times; Issue Description:

Cinebench R15 high performance mode score is lower than quiet mode performance score.Test result as attachment.

System no hang up or BSOD, test score in Performance mode is higher than Quiet mode.(PSA001_08  Intel DPTF testcase for ITS 3.0  V3.0.2)",0
[Miix720-12IKB-RS1_Preload] The PCMark Vantage HDD score of Toshiba SSD is not very stability,"  Test condition:

OS: Win10 RS1 14393

Language: EN

BIOS/EC: V40/V40

Preload: Consumer V25/Commercial V06   Test Result:

Test units: SKU1,SKU3,SKU4,SKU6

Fail units: SKU1,SKU3,SKU4,SKU6

Fail rate by all test units: 6 out of 6 units   Issue Description: 

The PCMark Vantage HDD score of Toshiba SSD is not very stability. Please refer to attachment for more detail. Retest this issue with latest bios V41/V41, issue also occurs.  ",0
[330_ICN_SIT]Fan maybe stop working when do test,"Test condition:  OS: Win10 16299 Language: EN BIOS/EC: V24/V24 Preload: V18   Test Result: Test units: 5 units (SKU1#39;SKU2#25;SKU3#36;SKU4#35;SKU5#03) Fail units: 2 units(SKU3#36;SKU4#35) Fail rate by units: 2 out of 5units.   Issue description:   Do PC mark8 test, the units test result is lower than others, then find fan has stoped working when the temperature rises. Reboot and retest, fan works normally,",0
[G330 ICH_SIT Phase]Performance test result with V17BIOS can’t meet SPEC,"Test condition: 

 OS: Win10 16299

 Language: EN

 BIOS/EC: V17/V17

 Preload: V15   Test Result:

 Test units: 6 units(SKU1#11;SKU2#14;SKU3#30;SKU4#13;SKU5#13; SKU6#06)

 Fail units: 6 units(SKU1#11;SKU2#14;SKU3#30;SKU4#13;SKU5#13; SKU6#06)

 Fail rate by units:6 out of 6 units.

  

 Issue description:

 Performance test result with V17BIOS can’t meet SPEC, which is lower than SIT phase test result about 10%。 Detail test result information as attachment.   Expectation: The test result can meet SPEC.",0
[720S-13ARR-SIT-R] 3DMark performance score can't meet spec.,"Test condition: 

BIOS/EC: 6KCN16WW/6KEC16WW

Preload: V17

OS: Win10 15063

Language: EN Test Result:

Test units: Sku1#3,Sku2#13,Sku3#1,Sku4#19

Fail units: Sku1#3,Sku2#13,Sku3#1,Sku4#19

Fail rate by units: 4 out of 4 units

Fail rate by times: 3 out of 3 times by unit Issue description: 3DMark perofrmance score can't meet spec. Detail info refer to attachment.",0
[Miix720-12IKB-SIT] TDP 15W 3Dmark11&3Dmark performance data can’t meet spec.,"est condition:OS: Windows 10 Pro 10586

Image: V13

BIOS/EC: 3SCN18WW/3SEC18WW

Language: ENTest mode: Pad stand mode(15W)

Test result: 

Test units: SKU1#34,SKU2#31;SKU3#03; SKU4#59; SKU5#08;SKU6#06;SKU7#11;SKU8#10

Fail units: SKU1#34,SKU2#31;SKU3#03; SKU4#59; SKU5#08;SKU6#06;SKU7#11;SKU8#10

Fail rate by units: 8 out of 8 units

Issue description:

TDP 15W 3Dmark11&3Dmark performance data can’t meet spec. Test value see attachment for detail.",0
[Y530P-15ICH_SIT]3DMark CloudGate score cannot meet SPEC,"Test Condition:

Preload: V09

OS: RS4 version 17134

Language: EN

BIOS/EC: 9PCN04WW Test Result: 

Test units: SKU1-34 SKU2-19 SKU3-10 SKU4-52 SKU5-24 SKU6-21

Fail units: SKU4-52 SKU6-21

Fail rate by units: 2/6 by units

Fail rate by times: NA Issue Description: 

[Y530P-15ICH_SIT]3DMark CloudGate score cannot meet SPEC. Please see attachment for details. How to recover:

None",0
